,tick,exchange,Average Return,Volatility,Beta,CAPM,Sharpe Ratio,RSI,labels
31,ACCD,NASDAQ,15.802360697254262,1.8283394206417527,2.953070372,0.2567220836878271,0.1171675681600927,55.98280831173516,2
344,ATXG,NASDAQ,18.24349435,2.4560218303592243,-2.535542258,-0.141433695,-0.074890904,52.03700212466895,2
1440,GLG,NASDAQ,9.471951205275523,1.4202670716746923,-0.564634693,0.001540184,-0.028839517,19.754074015339825,2
1930,KWE,NASDAQ,19.326710699592176,2.1479907547533617,-1.635999695,-0.076178941,-0.055251141,48.93119121128379,2
2222,MNMD,NASDAQ,11.50470477347511,1.3388359708459951,1.3334752079314394,0.1392331629929111,0.072251691,54.31930487358496,2
3098,SILO,NASDAQ,14.114039516816412,1.565822175837276,2.5360708261896305,0.2264720387242337,0.1174922935459514,59.18262519028298,2
3170,SNTG,NASDAQ,13.828542947496471,1.4052497237384745,3.7826943832500977,0.3169047959428687,0.1952711972167141,44.20259125348128,2
3414,TPST,NASDAQ,7.219938251225423,1.1230575487799306,1.5190898722755468,0.1526980504336952,0.098123244,59.263332489777525,2
3719,XBIOW,NASDAQ,13.762543467519594,0.7319475838940045,0.1229339198783,0.051417891,0.0121837840048404,76.69237494946665,2
4879,HLGN,NYSE,14.772515601045894,1.599112391065776,1.872148236994557,0.178309664460891,0.084928155,61.94125559299249,2
0,AACG,NASDAQ,1.9805810152203225,0.278431862659928,0.7798587260811344,0.099072631,0.2031830363850617,59.34498459528088,5
20,ABVC,NASDAQ,2.1815787270671474,0.3877245920328646,-0.441854243,0.0104469417433779,-0.082669655,70.10517963205206,5
120,AHI,NASDAQ,2.079571357677436,0.2915042957534784,0.5245409089007267,0.080551327,0.1305343612242644,28.93537568247657,5
125,AIMD,NASDAQ,3.215725327407194,0.189664632364322,0.3860149316860083,0.070502354,0.1476414132261241,67.69971021,5
230,APCX,NASDAQ,8.564099236,0.3985594558989581,-0.70064534,-0.008326322,-0.127525068,52.01826596977776,5
246,APRE,NASDAQ,3.161952189239373,0.5126095217265476,0.6475033676028504,0.089471289,0.091631713,28.90674094776618,5
249,APTO,NASDAQ,2.589660776996761,0.3913203783454775,1.0686320747863185,0.1200208718204175,0.1981007790807616,44.82824021323699,5
409,BBLGW,NASDAQ,10.967231351411188,0.7760310365040066,-0.267503664,0.0230947081974517,-0.025005819,50.61337642861226,5
437,BETS,NASDAQ,1.459881808661626,0.278142197,0.9722435852067356,0.1130286432302766,0.2535704540735317,16.075468911410596,5
446,BGLC,NASDAQ,3.355404064061106,0.2325781588646238,-0.065225585,0.037768396,-0.020344148,31.11311002603523,5
546,BRTX,NASDAQ,2.9163957142485115,0.2311236252016283,-0.390415834,0.0141783946794965,-0.122538772,26.010467550153933,5
560,BTCS,NASDAQ,2.4961219036687616,0.2689797699550585,0.9446625209569874,0.1110278534385207,0.2547695443786364,57.45547410812379,5
561,BTCT,NASDAQ,3.290087709,0.5870640928843126,0.1857796012799738,0.055976852,0.0229563560173845,54.37623814711854,5
675,CELZ,NASDAQ,1.6148851845440109,0.2400651947061486,0.009526582,0.043191079,0.002878713,49.09313930126346,5
698,CFIVW,NASDAQ,2.352556328561474,0.276651248,0.3384421526363599,0.067051323,0.088744666,87.96992438935736,5
813,CNVS,NASDAQ,2.997012791865568,0.4204255153888254,1.113861203892068,0.1233018902389008,0.1921907383860187,65.54242985255777,5
868,CRIS,NASDAQ,3.7663869382132167,0.4756310022446203,0.4846645311154171,0.077658609,0.073919927,63.96356679920636,5
965,DATSW,NASDAQ,3.603298135174066,0.2222267381635161,-0.924963668,-0.024598856,-0.301938717,90.81064419058912,5
1017,DNTH,NASDAQ,2.8850457360577324,0.4192715364082162,0.7464454175606141,0.096648758,0.1291496160115643,55.01210635005993,5
1029,DRIO,NASDAQ,3.798064574872396,0.5613084055377932,1.0508974774630089,0.1187343659421788,0.1358154718334178,23.365535420465942,5
1046,DTST,NASDAQ,6.070630028561508,0.7511129658757547,1.9661176530802755,0.1851264082507282,0.1898867610206062,37.20892051261838,5
1051,DUOT,NASDAQ,2.737445997280401,0.3563504884888382,0.7478778049860372,0.096752666,0.1522452421210565,42.37735341288714,5
1054,DWACU,NASDAQ,2.063389288639032,0.1866898414039406,0.6699436191467542,0.091099153,0.2603202851093342,61.83250577,5
1126,ENLT,NASDAQ,7.263988203914154,0.4040072601100609,0.5941441402304161,0.085600495,0.1066824772104679,50.95239965317715,5
1220,FBYD,NASDAQ,4.126396587287806,0.2210974914875364,-1.040948475,-0.033012644,-0.341535507,61.34664056194652,5
1269,FLGC,NASDAQ,6.346010361827624,0.7538221043357298,1.4436084918766183,0.1472224685633835,0.1389219922857864,55.79201002241686,5
1319,FRLAW,NASDAQ,4.775309982732232,0.2863844629365881,-0.179075343,0.0295094889979392,-0.04536039,86.88158272,5
1350,FTLF,NASDAQ,2.654606466,0.2669996940718165,0.4310889641152385,0.073772122,0.117124185634703,51.32945645111857,5
1380,GAME,NASDAQ,8.250087080088864,0.6540592037675603,-0.272737726,0.022715018,-0.030249528,53.41599722836701,5
1385,GATEW,NASDAQ,6.082997521609855,0.2796875991629099,1.7822453493361194,0.1717879153997385,0.4622583045751415,90.20188220899306,5
1394,GCTK,NASDAQ,2.124326651713996,0.1818749151985552,0.1451440293478092,0.05302906,0.057891768,43.58480757167014,5
1395,GDC,NASDAQ,2.3006421989361763,0.3364096043627499,0.7516593952951123,0.097026991,0.1620851200347073,52.77925524039716,5
1442,GLMD,NASDAQ,1.5269600980938842,0.3303193658732176,0.9329975255732682,0.1101816495548239,0.2048976128780817,61.23732587524783,5
1447,GLSI,NASDAQ,3.043793999,0.3621519126865468,0.1739414504267499,0.055118087,0.0348419735611928,50.9555498494836,5
1457,GMM,NASDAQ,14.469543339827124,0.1215093356031233,0.308373029701279,0.064870044,0.1841014395460937,73.89007849579156,5
1604,HPCO,NASDAQ,1.1893368961156912,0.2956983948692436,-0.008765075,0.041864163,-0.00215029,63.56995775,5
1641,HUDAR,NASDAQ,5.306705455281511,0.2647013321898299,-0.444887803,0.0102268807908909,-0.121922768,70.48196147027772,5
1642,HUDI,NASDAQ,2.368557279701471,0.1940894125289153,0.665584956,0.090782966,0.248766613928119,50.85654957958225,5
1725,IMRN,NASDAQ,1.4276591760001485,0.2486302618533096,0.2564380961126277,0.0611025716873545,0.074820223,45.647398967145584,5
1743,INDV,NASDAQ,2.2481472077425897,0.2055045399762596,-0.02601555,0.0406127760137359,-0.009183369,53.686926376843175,5
1825,IVDA,NASDAQ,2.9399561036630546,0.1770189504461788,0.5698622006369828,0.083839031,0.2335288455290824,45.93093439892522,5
1889,KGEI,NASDAQ,2.460004523210775,0.2581128390712592,0.5048620598832486,0.079123781,0.1418905820002738,58.9827992,5
2055,LRMR,NASDAQ,1.971255401659408,0.327387077,0.7931415852530573,0.1000361984882771,0.1757436455997576,42.47061766751846,5
2073,LUCYW,NASDAQ,2.5449044797778173,0.2013390503639966,0.3753716350928152,0.069730267,0.135245828659038,73.90095556834021,5
2075,LUMO,NASDAQ,1.6892943219005612,0.2537188335236492,0.9456765492383225,0.1111014132335842,0.2703836064546225,44.030009223876334,5
2454,NXPL,NASDAQ,3.542579474361072,0.4116103287064588,0.1273341819392095,0.0517370957501355,0.02244136,58.443693525843294,5
2515,OMH,NASDAQ,4.109233963273867,0.2808514794925903,0.280341003,0.06283654,0.0724103,28.635990918001355,5
2744,PRFX,NASDAQ,3.427888815972332,0.4015228205165347,0.7155550800360736,0.094407906,0.1292775993749571,44.91182894,5
3001,SASI,NASDAQ,1.8240653901653603,0.2996731833038627,0.5148017718261578,0.079844829,0.124618521596229,35.621455970801264,5
3057,SFT,NASDAQ,1.6977856785233751,0.3611468598757149,0.7760479669860031,0.098796191,0.1558817114743602,49.71444551099648,5
3058,SFWL,NASDAQ,3.550827855269856,0.1294716354592169,-0.364333217,0.0160704838951461,-0.204133639,37.30929442652478,5
3173,SOBR,NASDAQ,9.623181265159282,0.8846356699847613,-1.446030452,-0.062398163,-0.118577813,46.560075232225536,5
3196,SPI,NASDAQ,2.376083264874036,0.3594195762107053,-0.019336457,0.0410972917719082,-0.003902704,51.052654147085846,5
3212,SQFTP,NASDAQ,3.455707990417676,0.3554305455075925,0.2535931352959917,0.060896192,0.051757488,46.121281525879255,5
3270,SVFD,NASDAQ,2.665582857935015,0.208958440740965,0.2776089185382437,0.062638349,0.0963749,61.338073302816376,5
3288,SXTC,NASDAQ,2.423186312035716,0.4616210334073531,0.5302524238422666,0.080965653,0.08332734,48.33292191512988,5
3292,SYBX,NASDAQ,1.702363840397721,0.2972228164097856,1.4732009945073825,0.1493691724265851,0.3595591136558067,35.71330801746227,5
3317,TBLTW,NASDAQ,4.035723292789855,0.2196248162858557,0.183050779,0.055778898,0.060461736,72.96824950786795,5
3391,TLSIW,NASDAQ,4.730126304686502,0.2469227027076016,-0.464778099,0.008783996,-0.136544772,75.99682097,5
3406,TOP,NASDAQ,4.062303445244928,0.2857606844862755,1.3848990816338127,0.1429635615237508,0.3515653726276536,39.47348141,5
3491,UGRO,NASDAQ,8.123644916215241,0.6457831410192514,1.148451080172759,0.1258111143476528,0.1290078805962035,64.53732501397775,5
3540,VCIG,NASDAQ,9.463317998446303,0.4981008482328994,-2.039119467,-0.105422117,-0.296972225,49.363990068804526,5
3680,WKSP,NASDAQ,4.086181281250594,0.4386586985143429,0.8953657204897745,0.107451757380446,0.1480690058134622,76.60263433,5
3779,ZIVO,NASDAQ,6.863601491097346,0.9594108227646534,0.6259212708762589,0.087905677,0.047326626,45.80710942176916,5
3789,ZURA,NASDAQ,3.056381796933544,0.2646879942948312,-1.516043849,-0.067477085,-0.415497067,49.655313390430784,5
4876,HKD,NYSE,4.259700111774803,0.2910742437923606,0.089931407,0.049023818,0.0224129,38.37873832287298,5
4996,IVT,NYSE,2.198042294,0.2696336140158812,0.2932166571968664,0.063770568,0.078886929,50.12281097242024,5
5450,NYC,NYSE,1.8861002735932373,0.2903080790730025,0.5070215412408041,0.079280434,0.1266944912548018,49.77002992,5
